SYMBOL	UCEC_CS	UCEC_OS	UCEC_TS	LUSC_CS	LUSC_OS	LUSC_TS	READ_CS	READ_OS	READ_TS	OV_CS	OV_OS	OV_TS	GBM_CS	GBM_OS	GBM_TS	BLCA_CS	BLCA_OS	BLCA_TS	HNSC_CS	HNSC_OS	HNSC_TS	LUAD_CS	LUAD_OS	LUAD_TS	COAD_CS	COAD_OS	COAD_TS	BRCA_CS	BRCA_OS	BRCA_TS	KIRC_CS	KIRC_OS	KIRC_TS	MAX_ONC	MAX_TSG	MAX_ONC_TSG
CHST4	-1	0	1	-1	0	1	0	0	0	0	1	1	2	2	0	-1	0	1	0	0	0	0	1	1	2	2	0	-2	1	3	0	0	0	2	3	3
CHST7	0	0	0	2	2	0	0	0	0	-1	0	1	1	1	0	0	0	0	1	1	0	-1	0	1	1	1	0	-1	0	1	1	2	1	2	1	2
CHST6	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	-1	0	1	0	1	1	0	0	0	-2	0	2	0	0	0	1	2	2
ITGAX	-1	0	1	-1	0	1	0	0	0	0	0	0	1	1	0	-1	0	1	-1	0	1	-1	1	2	0	0	0	0	1	1	0	1	1	1	2	2
BCL2A1	-1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1
ITGAV	-1	0	1	-1	0	1	0	0	0	2	2	0	0	1	1	-2	0	2	0	0	0	-1	0	1	2	2	0	-1	0	1	1	1	0	2	2	2
PREP	-1	0	1	0	0	0	0	0	0	-1	0	1	0	1	1	-1	0	1	0	0	0	-2	0	2	0	0	0	0	1	1	0	0	0	1	2	2
ITGAL	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	1	1	1	0	1	1	0	1	1	1
ITGAM	-2	0	2	1	2	1	0	0	0	-1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	-1	0	1	2	2	0	-1	1	2	2	2	2
ITGAD	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1
ITGAE	0	1	1	-1	1	2	-1	0	1	-1	0	1	1	1	0	-1	1	2	0	1	1	-1	1	2	-1	0	1	-1	1	2	0	1	1	1	2	2
ENSG00000263606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2R	0	1	1	0	0	0	0	0	0	-1	0	1	1	1	0	-2	0	2	0	1	1	-1	1	2	0	0	0	-1	1	2	1	2	1	2	2	2
SLC36A4	-3	0	3	1	1	0	0	0	0	0	0	0	-1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	3	3
SLC36A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	1	1	1	1
SLC36A2	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	-1	0	1	0	0	0	0	1	1
SLC36A1	-1	0	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	-1	0	1	-1	0	1	0	0	0	0	1	1	2	2	0	2	1	2
C14orf115	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	-1	0	1	2	1	2
C14orf112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C14orf118	0	0	0	0	0	0	-1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-1	0	1	1	1	1
C14orf119	0	1	1	0	0	0	-1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	1	1	1	1
ART1	0	0	0	1	1	0	0	0	0	0	0	0	-2	0	2	-1	0	1	-1	0	1	2	2	0	1	1	0	1	1	0	-1	0	1	2	2	2
ART3	0	0	0	0	0	0	0	0	0	-1	0	1	-1	0	1	0	0	0	0	0	0	-1	0	1	0	0	0	0	1	1	0	0	0	1	1	1
ART5	0	0	0	0	0	0	0	0	0	-1	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ART4	-1	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-1	0	1	-1	0	1	0	0	0	-1	0	1	0	1	1
MGC57346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1
CRTAM	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	1	1
CADPS2	-1	1	2	0	1	1	0	0	0	-1	0	1	-1	0	1	0	1	1	0	1	1	0	1	1	-1	0	1	0	1	1	1	2	1	2	2	2
RLF	0	1	1	-1	0	1	0	0	0	1	1	0	-1	0	1	-1	0	1	0	0	0	-1	0	1	0	1	1	1	2	1	0	1	1	2	1	2
ENSG00000251771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRTAP	0	0	0	-1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	-1	0	1	-1	0	1	0	0	0	0	1	1	-1	0	1	1	1	1
RNU6-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
